"","Sender_account","Receiver_account","Sender_bank_location","Receiver_bank_location","Is_laundering"
"1211023",9830727290,5046753153,"UK","UK",1
"1211394",6543072915,4364823709,"UK","UK",1
"1211711",3556481259,5019320065,"UK","UK",1
"1211943",3215318479,6855482173,"UK","UK",1
"1212634",5095505244,2374006717,"UK","UK",1
"1213221",4202589878,6844529387,"India","UK",1
"1214975",1450041481,4007288126,"UK","UK",1
"1215307",22941989,8430816457,"UK","UK",1
"1216467",2818523910,1541721227,"UK","UK",1
"1216521",1253336976,8371675450,"UK","Pakistan",1
"1217576",3992084410,7856837871,"Turkey","UK",1
"1219288",9268139431,9259814241,"UK","India",1
"1219499",9710838491,93722998,"UK","Mexico",1
"1220440",5917350547,4806160754,"Netherlands","UK",1
"1221398",6860797177,5129661746,"UK","UK",1
"1223215",3338303704,7067082284,"UK","UK",1
"1224710",1253336976,8371675450,"UK","Pakistan",1
"1225056",5917350547,4563922345,"Netherlands","UK",1
"1225489",3239906443,4846475139,"UK","Switzerland",1
"1225620",3272114985,3140946181,"UK","UK",1
"1225631",4503049074,2817594182,"UK","UK",1
"1225761",2281394207,6214585729,"UK","UK",1
"1227221",9772022469,4783094991,"UK","UK",1
"1227587",1339917371,386440627,"UK","Germany",1
"1228909",9473620413,4007288126,"UK","UK",1
"1229193",9501681099,330310031,"UK","UK",1
"1229728",9268139431,9259814241,"UK","India",1
"1231516",7147448786,5557620276,"UK","UK",1
"1232100",6374690376,3180939545,"UK","UK",1
"1232494",6204870445,4701865167,"UK","UK",1
"1232646",6860797177,5129661746,"UK","UK",1
"1234203",6700207226,8129574305,"UK","UK",1
"1235193",6543072915,4364823709,"UK","UK",1
"1235995",4114041356,1940500748,"UK","UK",1
"1236850",1253336976,8371675450,"UK","Pakistan",1
"1237056",9710838491,93722998,"UK","Mexico",1
"1239368",9268139431,9259814241,"UK","India",1
"1239827",7698724710,3282818329,"Spain","UK",1
"1239873",3556481259,5019320065,"UK","UK",1
"1240628",2849622641,5559467485,"UK","UK",1
"1240687",28968986,6844529387,"UK","UK",1
"1241607",3215318479,6855482173,"UK","UK",1
"1242108",3187084517,8846937355,"UK","UK",1
"1245496",7803705021,4020208629,"UK","UK",1
"1249860",5709364779,1665774528,"UK","UK",1
"1249912",9710838491,93722998,"UK","Mexico",1
"1253350",9238646480,4597902876,"UK","UK",1
"1254211",9501681099,330310031,"UK","UK",1
"1255023",2674040359,8456160842,"UK","UK",1
"1255068",208056103,6702932647,"UK","UK",1
"1256632",4573169702,9577633368,"UK","UK",1
"1257652",9268139431,9259814241,"UK","India",1
"1259110",6833938792,8692856098,"UK","Spain",1
"1259470",6204477421,3282818329,"UK","UK",1
"1260805",6860797177,5129661746,"UK","UK",1
"1261096",1441864356,4007288126,"UK","UK",1
"1261685",5173637169,9772254154,"UK","UK",1
"1261851",2849622641,5559467485,"UK","UK",1
"1263595",9268139431,9259814241,"UK","India",1
"1265100",7416524935,3458503586,"UK","UK",1
"1267684",4043588367,8456160842,"UK","UK",1
"1268198",331330653,3790148325,"UK","UK",1
"1271069",931449511,8456160842,"UK","UK",1
"1271533",9710838491,93722998,"UK","Mexico",1
"1271938",5708403349,9422954342,"UK","Mexico",1
"1272097",5095505244,2971909285,"UK","UK",1
"1274286",2672451075,3330994745,"UK","UK",1
"1274798",5211403357,5708403349,"UK","UK",1
"1274842",5622928657,6844529387,"UK","UK",1
"1275472",8722719854,5757334160,"UK","Pakistan",1
"1275664",1253336976,8371675450,"UK","Pakistan",1
"1277138",2443617213,1187207050,"Japan","UK",1
"1277738",4639821031,1665774528,"UK","UK",1
"1278121",391301170,5188279468,"UK","UK",1
"1278431",8553587516,7856837871,"UK","UK",1
"1278631",9939053037,7067082284,"UK","UK",1
"1279169",1207494413,3814772835,"UK","UK",1
"1279205",9066361608,4020208629,"UK","UK",1
"1279551",7391340607,9658846243,"UK","UK",1
"1280094",9577633368,7231247471,"UK","UK",1
"1281572",8700457882,4597902876,"Mexico","UK",1
"1281674",1544723191,386440627,"UK","Germany",1
"1282116",7147448786,5557620276,"UK","UK",1
"1282686",1992087353,3140946181,"UK","UK",1
"1283106",9382188772,5899293888,"UK","UK",1
"1284062",1740588255,3458503586,"UK","UK",1
"1284507",2154311031,1983875360,"UK","Italy",1
"1285014",6874313350,2460865543,"UK","UK",1
"1285716",3243896688,2179044177,"UK","UK",1
"1288348",3682462176,3312612555,"UK","UK",1
"1290298",6860797177,5129661746,"UK","UK",1
"1290506",3846677630,5345112123,"UK","UK",1
"1290775",5708559613,8492328593,"UK","UK",1
"1291907",7816440666,6844529387,"UK","UK",1
"1293373",3180939545,1227627262,"UK","UK",1
"1294507",4525011568,685439805,"UK","UK",1
"1297154",1099653962,3790148325,"Italy","UK",1
"1297735",7123384680,86715269,"UK","UK",1
"1297772",208056103,6702932647,"UK","UK",1
"1299626",6344798149,3282818329,"Netherlands","UK",1
"1300293",3846677630,3519245864,"UK","UK",1
"1300843",4875340736,2179044177,"UK","UK",1
"1301066",4713467040,6054455317,"UK","UK",1
"1301609",9658846243,4500240470,"UK","Turkey",1
"1301913",9969912569,8456160842,"UK","UK",1
"1301971",6860797177,5129661746,"UK","UK",1
"1302114",2154311031,216989395,"UK","UK",1
"1304289",9501681099,330310031,"UK","UK",1
"1304783",7147448786,5557620276,"UK","UK",1
"1304835",9893678337,4597902876,"UK","UK",1
"1305397",9891968510,821512934,"UK","UAE",1
"1306573",5045265825,3571079151,"UK","Pakistan",1
"1307004",7686371546,386440627,"UK","Germany",1
"1309202",9501681099,330310031,"UK","UK",1
"1309703",2388713026,8456160842,"UK","UK",1
"1310073",7763213926,5045265825,"UK","UK",1
"1312455",7123384680,86715269,"UK","UK",1
"1313443",8660233283,3453875036,"UK","UK",1
"1315072",8824395130,4597902876,"UK","UK",1
"1316451",6204870445,4701865167,"UK","UK",1
"1317015",3977815905,9772254154,"UK","UK",1
"1317133",1697970931,6445645793,"UK","UK",1
"1317289",3215318479,6855482173,"UK","UK",1
"1317515",6874313350,8094120479,"UK","Italy",1
"1318450",7123384680,86715269,"UK","UK",1
"1318553",8430816457,3983485132,"UK","UK",1
"1318838",9526203667,9772254154,"UK","UK",1
"1318975",2154311031,4536103931,"UK","UK",1
"1319095",9501681099,330310031,"UK","UK",1
"1320223",6543072915,4364823709,"UK","UK",1
"1320596",4396132028,7067082284,"UK","UK",1
"1321232",8430816457,4103732962,"UK","UK",1
"1322552",6874313350,7296432625,"UK","UK",1
"1322788",3187084517,8846937355,"UK","UK",1
"1322931",6700207226,8129574305,"UK","UK",1
"1322968",9079307827,6054455317,"UK","UK",1
"1323370",8253639626,4227166495,"UK","UK",1
"1326504",1719139977,9772254154,"UK","UK",1
"1327024",3682462176,3959924781,"UK","UK",1
"1327112",8310022282,6844529387,"UK","UK",1
"1327253",6611982598,3229111081,"UK","Switzerland",1
"1328357",8772293482,3458503586,"UK","UK",1
"1329149",4503049074,2817594182,"UK","UK",1
"1329213",7256117671,7067082284,"UK","UK",1
"1330110",315625186,6054455317,"UK","UK",1
"1331034",7123384680,86715269,"UK","UK",1
"1331186",7028799426,3098928489,"UK","UK",1
"1331291",9772022469,4783094991,"UK","UK",1
"1332204",9501681099,330310031,"UK","UK",1
"1332602",3556481259,5019320065,"UK","UK",1
"1333191",6916860201,8515670469,"Austria","UK",1
"1333646",6391901359,3282818329,"UK","UK",1
"1333671",5917350547,5202913060,"Netherlands","UK",1
"1334943",6058562879,386440627,"UK","Germany",1
"1335319",6989271965,861742137,"UK","Turkey",1
"1335932",208056103,6702932647,"UK","UK",1
"1336157",643954739,5533340543,"UK","UK",1
"1336807",4713467040,9210556116,"UK","Spain",1
"1337228",4525011568,9484189386,"UK","UK",1
"1337581",9446647727,1132272920,"UK","UK",1
"1337621",9746017106,8002033239,"UK","UK",1
"1339112",7147448786,5557620276,"UK","UK",1
"1341754",1278425401,9931539215,"UK","Morocco",1
"1341960",5977468708,1278425401,"UK","UK",1
"1344993",3243896688,821512934,"UK","UAE",1
"1346096",3556481259,5019320065,"UK","UK",1
"1346305",9630286485,6042344622,"UK","UK",1
"1347178",315625186,3229111081,"UK","Switzerland",1
"1348470",7123384680,86715269,"UK","UK",1
"1348729",643954739,6558974258,"UK","UK",1
"1349950",6543072915,4364823709,"UK","UK",1
"1351816",9772022469,4783094991,"UK","UK",1
"1352390",2238431194,8456160842,"UK","UK",1
"1353096",6700207226,8129574305,"UK","UK",1
"1353922",4503049074,2817594182,"UK","UK",1
"1354848",3187084517,8846937355,"UK","UK",1
"1355201",9501681099,330310031,"UK","UK",1
"1355963",208056103,6702932647,"UK","UK",1
"1356126",3271196078,386440627,"UK","Germany",1
"1356917",5917350547,9705256080,"Netherlands","Mexico",1
"1356968",3760146245,1744879024,"UK","UK",1
"1358291",7123384680,86715269,"UK","UK",1
"1358654",1010150965,4597902876,"UK","UK",1
"1359061",8516183821,3140946181,"UK","UK",1
"1359492",7028799426,3098928489,"UK","UK",1
"1362481",367003324,7856837871,"UK","UK",1
"1363885",6989271965,2096901638,"UK","UAE",1
"1364459",8368979671,2179044177,"UK","UK",1
"1364889",5917350547,5729243119,"Netherlands","UK",1
"1364900",4845635925,9832642539,"UK","UK",1
"1365017",55381759,7116470616,"Mexico","UK",1
"1367841",2154311031,9590761224,"UK","UK",1
"1368177",4557079584,3458503586,"UK","UK",1
"1368385",9891968510,5023341361,"UK","USA",1
"1369172",1653688545,6054455317,"UK","UK",1
"1371565",4525011568,1998445733,"UK","UK",1
"1373152",3764972093,7129026374,"UK","UK",1
"1373824",3480556018,9484189386,"UK","UK",1
"1374534",1001154860,4597902876,"UK","UK",1
"1375554",9746017106,4006710222,"UK","UK",1
"1376215",3556481259,5019320065,"UK","UK",1
"1377999",8247546543,3722911464,"UK","UK",1
"1379207",5890198328,6558974258,"UK","UK",1
"1379426",5061861850,520713149,"UK","UK",1
"1379605",3682462176,7261767653,"UK","UK",1
"1380567",6204870445,4701865167,"UK","UK",1
"1380926",7028799426,3098928489,"UK","UK",1
"1381603",3480556018,685439805,"UK","UK",1
"1382118",6686887971,8104185827,"UK","UK",1
"1382224",9791139953,3458503586,"UK","UK",1
"1383303",3187084517,8846937355,"UK","UK",1
"1383633",1207494413,3239063780,"UK","UK",1
"1385023",7657551830,5972622880,"UK","UK",1
"1385055",7123384680,86715269,"UK","UK",1
"1385341",5917350547,677056262,"Netherlands","Japan",1
"1388116",4503049074,2817594182,"UK","UK",1
"1391635",8660233283,5023341361,"UK","USA",1
"1392445",1207494413,4446652934,"UK","UK",1
"1392797",6700207226,8129574305,"UK","UK",1
"1394212",8430816457,7211013217,"UK","UK",1
"1394369",9467487552,6891062860,"UK","UK",1
"1394425",5804990951,5077259356,"UK","UK",1
"1394834",8430816457,2847278996,"UK","UK",1
"1396548",6097169081,9210556116,"UK","Spain",1
"1396893",2154311031,2999580239,"UK","UK",1
"1398247",4568484411,821512934,"UK","UAE",1
"1398979",6874313350,5972622880,"UK","UK",1
"1399428",3371937981,3577737186,"UK","Italy",1
"1399958",208056103,6702932647,"UK","UK",1
"1399973",8880555867,2477514279,"UK","UK",1
"1401169",9595227919,7067082284,"UK","UK",1
"1401190",9193835209,6054455317,"UK","UK",1
"1401433",7123384680,86715269,"UK","UK",1
"1401487",8104185827,3938828274,"UK","UK",1
"1401841",9950972480,6844529387,"UK","UK",1
"1408510",7123384680,86715269,"UK","UK",1
"1409850",6700207226,8129574305,"UK","UK",1
"1410963",623663379,4020208629,"UK","UK",1
"1412088",7755113092,6054455317,"UK","UK",1
"1414033",6891062860,4505191453,"UK","Austria",1
"1418100",3556481259,5019320065,"UK","UK",1
"1418778",5890198328,2462728997,"UK","UK",1
"1419208",1207494413,2470596478,"UK","UK",1
"1422801",3765137455,6445645793,"UK","UK",1
"1422998",6042344622,2527215295,"UK","Morocco",1
"1423518",7028799426,3098928489,"UK","UK",1
"1423786",3026622208,3458503586,"UK","UK",1
"1423890",7930003813,9180949364,"UK","UK",1
"1424880",55381759,4814705202,"Mexico","Spain",1
"1425719",4371296479,5699931146,"UK","UK",1
"1427844",9079307827,9210556116,"UK","Spain",1
"1429999",5783727027,6844529387,"India","UK",1
"1431508",643954739,2462728997,"UK","UK",1
"1431520",464035744,2824945595,"UK","UK",1
"1437949",4875340736,5023341361,"UK","USA",1
"1438144",7657551830,2460865543,"UK","UK",1
"1439634",5949137980,6445645793,"UK","UK",1
"1439742",7248879146,8417752885,"UK","UK",1
"1440042",4116282405,3458503586,"UK","UK",1
"1440734",23039938,8772508254,"UK","Turkey",1
"1441018",3556481259,5019320065,"UK","UK",1
"1441143",364980826,23039938,"UK","UK",1
"1443304",685439805,3143116829,"UK","Japan",1
"1445044",818830460,7698914213,"UK","UK",1
"1446805",6989271965,5695014191,"UK","Morocco",1
"1450283",2477514279,4924839218,"UK","Mexico",1
"1451363",2804810123,2179044177,"UK","UK",1
"1455505",9430804295,8003668748,"UK","UK",1
"1457918",6611982598,9210556116,"UK","Spain",1
"1461825",5512011172,9749980386,"UK","UK",1
"1465546",7657551830,7296432625,"UK","UK",1
"1465820",2824945595,4313969333,"UK","UK",1
"1466019",3371937981,2466115630,"UK","UK",1
"1467784",6392596761,4020208629,"UK","UK",1
"1468217",1517021923,3143116829,"UK","Japan",1
"1469179",7657551830,8094120479,"UK","Italy",1
"1469231",3488949353,3975494843,"UK","Morocco",1
"1473680",962556530,4020208629,"UK","UK",1
"1473989",6989271965,7750781567,"UK","Albania",1
"1475547",818830460,63528476,"UK","UK",1
"1475752",5917350547,7779452261,"Netherlands","Spain",1
"1476189",5890198328,5533340543,"UK","UK",1
"1477097",8900120664,5108529656,"UK","UK",1
"1478215",9749980386,2166366610,"UK","UK",1
"1484737",7922655699,3143116829,"UK","Japan",1
"1487205",3467915237,1792169085,"UK","UK",1
"1488905",3682462176,1315814621,"UK","UK",1
"1489237",6989271965,2724364962,"UK","Albania",1
"1493081",6018648917,1331754702,"UK","India",1
"1495297",6018648917,9762823713,"UK","Germany",1
"1495468",55381759,5549636261,"Mexico","UK",1
"1495750",6744599788,5395190531,"UK","Pakistan",1
"1495874",4924558242,3175190058,"UK","UK",1
"1498304",9416949366,43019141,"UK","Mexico",1
"1498334",8417752885,1106513551,"UK","France",1
"1501425",8247546543,6694937673,"UK","UK",1
"1501524",6018648917,912573507,"UK","Germany",1
"1502740",5917350547,4903531739,"Netherlands","Austria",1
"1506672",9187976308,2179044177,"UK","UK",1
"1507464",9255943229,9252701993,"UK","France",1
"1507999",6082530241,9210556116,"UK","Spain",1
"1508865",9255943229,6287039379,"UK","UK",1
"1512585",6082530241,3229111081,"UK","Switzerland",1
"1513103",5917350547,7561412185,"Netherlands","UK",1
"1514443",9600307866,3330994745,"UK","UK",1
"1514633",1792169085,6871838311,"UK","Mexico",1
"1514689",6018648917,5866257101,"UK","UK",1
"1516258",9613007465,4550948935,"UK","UK",1
"1520017",3488949353,1132272920,"UK","UK",1
"1522409",4898931369,9252701993,"UK","France",1
"1527862",5533340543,1825802534,"UK","UK",1
"1531063",6097169081,8394874419,"UK","UK",1
"1534781",5108529656,1213931889,"UK","Japan",1
"1535547",5637214862,3175190058,"UK","UK",1
"1535994",4550948935,538271136,"UK","Morocco",1
"1536247",4594499722,4640313505,"UK","Germany",1
"1539490",8247546543,7444660050,"UK","UK",1
"1541723",3765137455,4285035639,"UK","UK",1
"1548709",4594499722,5536989701,"UK","Japan",1
"1551214",6744599788,1908978698,"UK","Morocco",1
"1551778",2691277955,54360555,"UK","UK",1
"1554647",818830460,6562075226,"UK","Switzerland",1
"1554853",1534642148,5061861850,"UK","UK",1
"1555262",6018648917,1439339947,"UK","UK",1
"1557645",818830460,3683164823,"UK","France",1
"1561836",4446652934,8714774095,"UK","UK",1
"1562888",6989271965,8978752048,"UK","Turkey",1
"1563908",5905337797,1549753205,"UK","UK",1
"1564105",1697970931,3975494843,"UK","Morocco",1
"1567323",1879634304,5905337797,"UK","UK",1
"1569270",9600307866,4285035639,"UK","UK",1
"1571975",2672451075,6445645793,"UK","UK",1
"1573278",9446647727,3330994745,"UK","UK",1
"1573880",818830460,1112162523,"UK","UK",1
"1577132",6744599788,2137745624,"UK","Morocco",1
"1578888",1670041415,3175190058,"UK","UK",1
"1582672",9416949366,1040594777,"UK","Albania",1
"1582938",9255943229,1670596186,"UK","UK",1
"1584850",818830460,9418153871,"UK","UK",1
"1585054",6977632717,3285069241,"UK","UK",1
"1587847",9416949366,392741709,"UK","UAE",1
"1592779",6744599788,4017429201,"UK","Pakistan",1
"1592835",8456160842,6182467169,"UK","UK",1
"1593593",9050785104,8793432690,"UK","Albania",1
"1594200",513161146,6286930995,"Morocco","UK",1
"1594649",6018648917,1683826585,"UK","Mexico",1
"1597046",2149901234,5804990951,"UK","UK",1
"1597852",5749169437,9050785104,"UK","UK",1
"1598599",3453875036,5448654851,"UK","UK",1
"1599920",803103502,3175190058,"UK","UK",1
"1600375",4898931369,1546584797,"UK","UK",1
"1604107",1015594108,3143116829,"UK","Japan",1
"1605802",6989271965,4633251124,"UK","Nigeria",1
"1605861",9484189386,3143116829,"UK","Japan",1
"1612230",9416949366,4679853485,"UK","Nigeria",1
"1612704",2460865543,4036374632,"UK","UK",1
"1613407",1132272920,7373140714,"UK","UK",1
"1613949",3822535363,3175190058,"UK","UK",1
"1615755",4020208629,648231879,"UK","UK",1
"1616667",4927449731,3166538889,"UK","UK",1
"1618321",9255943229,1607216804,"UK","UK",1
"1620046",818830460,757637715,"UK","UK",1
"1621838",1402296413,3956298966,"UK","UK",1
"1625781",8456160842,5591199240,"UK","UK",1
"1625945",4020208629,3960072922,"UK","UK",1
"1627287",4020208629,5475445640,"UK","UK",1
"1628487",751829450,8193184390,"UK","UK",1
"1628742",6018648917,1493634160,"UK","India",1
"1629520",4898931369,8263397710,"UK","UK",1
"1629932",8193184390,4960277889,"UK","UAE",1
"1630865",4167240366,7719178454,"UK","UK",1
"1631630",8456160842,7572230754,"UK","UK",1
"1635304",818830460,2109946283,"UK","UK",1
"1636125",1402296413,3549719667,"UK","UK",1
"1639222",1402296413,9878678241,"UK","UK",1
"1643203",6598676049,7748494288,"UK","USA",1
"1644208",3890512015,1925953413,"UK","UK",1
"1646139",4898931369,1670596186,"UK","UK",1
"1647249",4167240366,3544715458,"UK","UK",1
"1649051",9862053017,2264961913,"UK","UK",1
"1651685",6453697396,1021972,"UK","UK",1
"1652287",2470596478,5316799267,"UK","UK",1
"1655051",4434444907,1416418992,"UK","UK",1
"1655122",8925801430,3302760648,"UK","UK",1
"1655836",6558974258,7170904558,"UK","UK",1
"1657076",4458073557,3549719667,"UK","UK",1
"1660211",8736463791,6935930317,"UK","UK",1
"1662928",8042070370,6219252225,"UK","UK",1
"1665201",485398087,5057760337,"UK","UK",1
"1666474",5398804209,5668411164,"UK","UK",1
"1667313",2949870600,3175190058,"UK","UK",1
"1669359",8356676511,8558866681,"UK","UK",1
"1669841",9416949366,4881012889,"UK","Turkey",1
"1671258",265022275,808494369,"UK","UK",1
"1671378",6445645793,7373140714,"UK","UK",1
"1673294",485398087,5057760337,"UK","UK",1
"1673497",8456160842,4007414528,"UK","UK",1
"1675251",4458073557,3956298966,"UK","UK",1
"1675424",9255943229,1546584797,"UK","UK",1
"1675529",3141178923,3175190058,"Japan","UK",1
"1675995",4594499722,1016363930,"UK","Japan",1
"1677325",8094120479,4036374632,"Italy","UK",1
"1677771",6935930317,6692553022,"UK","UK",1
"1679628",265022275,5054126157,"UK","UK",1
"1680393",818830460,4878733903,"UK","UK",1
"1683493",3864360347,7262678088,"UK","UK",1
"1684072",6018648917,6402092101,"UK","UK",1
"1684495",6744599788,6852063462,"UK","UAE",1
"1684659",3864360347,7262678088,"UK","UK",1
"1684694",2460865543,5588112676,"UK","UK",1
"1686960",4020208629,4533942149,"UK","Italy",1
"1690547",8878654628,3166538889,"UK","UK",1
"1690925",9416949366,6032183994,"UK","Pakistan",1
"1692249",5533340543,7170904558,"UK","UK",1
"1692973",3890512015,1925953413,"UK","UK",1
"1695462",485398087,5057760337,"UK","UK",1
"1696328",2691277955,7222999901,"UK","UK",1
"1696898",4594499722,5729668625,"UK","Turkey",1
"1699613",1416418992,7404961633,"UK","UK",1
"1699971",3890512015,1925953413,"UK","UK",1
"1700111",4020208629,9940204354,"UK","UK",1
"1700264",2023911328,3166538889,"UK","UK",1
"1700445",8208853675,3175190058,"UK","UK",1
"1701444",7877307782,3175190058,"UK","UK",1
"1703081",8942092633,3175190058,"Morocco","UK",1
"1703220",4898931369,2773725950,"UK","UK",1
"1703655",7444660050,7438264536,"UK","UK",1
"1703846",2679881485,3175190058,"UK","UK",1
"1705391",3302760648,8598528000,"UK","UAE",1
"1706657",3864360347,7262678088,"UK","UK",1
"1708571",3239063780,9104489693,"UK","Austria",1
"1709350",265022275,7932941968,"UK","UK",1
"1711086",1487922912,8558866681,"UK","UK",1
"1711244",1021972,2433989556,"UK","UK",1
"1711595",2687903675,4007288126,"UK","UK",1
"1713473",2470596478,232488452,"UK","UK",1
"1713709",8028059135,7748494288,"UK","USA",1
"1716281",8796758615,3175190058,"UK","UK",1
"1717408",5549636261,4045325482,"UK","UK",1
"1718505",6692553022,7004219899,"UK","UK",1
"1718768",4594499722,8293666323,"UK","UK",1
"1719339",7471364026,8878215296,"UK","UK",1
"1721089",7471364026,8878215296,"UK","UK",1
"1721152",2247370907,2176034287,"UK","UK",1
"1721240",4898931369,6287039379,"UK","UK",1
"1721625",3864360347,7262678088,"UK","UK",1
"1721912",5199547167,6219252225,"UK","UK",1
"1722593",4814705202,4045325482,"Spain","UK",1
"1723419",2247370907,2176034287,"UK","UK",1
"1723543",3239063780,1182622587,"UK","UK",1
"1724179",391301170,6942980357,"UK","UK",1
"1724367",3890512015,1925953413,"UK","UK",1
"1726372",9862053017,2264961913,"UK","UK",1
"1727700",485398087,5057760337,"UK","UK",1
"1727925",6068118363,8558866681,"UK","UK",1
"1728037",265022275,3727743666,"UK","Morocco",1
"1728451",4762817962,8470477504,"UK","UK",1
"1731667",1669265788,7748494288,"UK","USA",1
"1733189",5594578454,6088979818,"UK","UK",1
"1733226",7471364026,8878215296,"UK","UK",1
"1733318",7196675602,4007288126,"UK","UK",1
"1734106",5668411164,7242902186,"UK","Turkey",1
"1734368",6018648917,95462597,"UK","Nigeria",1
"1736267",9818595469,9627077326,"UK","UK",1
"1736615",7973448027,8391201653,"UK","Morocco",1
"1737818",5047305009,3646567511,"UK","UK",1
"1738902",9862053017,2264961913,"UK","UK",1
"1742594",6558974258,1825802534,"UK","UK",1
"1743504",3975494843,7373140714,"Morocco","UK",1
"1743688",2691277955,5175256054,"UK","UK",1
"1744039",6744599788,8242232249,"UK","Nigeria",1
"1744205",2691277955,7253035220,"UK","UK",1
"1746142",9986072975,3166538889,"Germany","UK",1
"1746296",3864360347,7262678088,"UK","UK",1
"1746372",7004219899,8122511384,"UK","UK",1
"1747393",3827836542,5603212401,"UK","Morocco",1
"1749487",5102301300,1909875660,"UK","UK",1
"1750651",3623316043,2060128523,"UK","UK",1
"1751202",9144198508,6219252225,"UK","UK",1
"1752210",485398087,5057760337,"UK","UK",1
"1752517",4020208629,8765837034,"UK","UK",1
"1752855",2247370907,2176034287,"UK","UK",1
"1754061",7296432625,5588112676,"UK","UK",1
"1754794",4020208629,7110670261,"UK","UK",1
"1755558",3827836542,5603212401,"UK","Morocco",1
"1756427",7653542672,5801806099,"UK","UK",1
"1757448",6694937673,8237899279,"UK","Nigeria",1
"1758058",9818595469,9627077326,"UK","UK",1
"1759031",3890512015,1925953413,"UK","UK",1
"1759506",9862053017,2264961913,"UK","UK",1
"1760398",5316774430,4361238172,"UK","UK",1
"1761199",1769648203,7757125281,"UK","UK",1
"1761812",7973448027,8391201653,"UK","Morocco",1
"1762330",3890512015,1925953413,"UK","UK",1
"1763362",4898931369,1607216804,"UK","UK",1
"1764779",5855502721,7278889052,"UK","UK",1
"1764903",3864360347,7262678088,"UK","UK",1
"1764973",5102301300,1909875660,"UK","UK",1
"1765768",3594512786,4007288126,"UK","UK",1
"1765846",8212229494,4804157233,"UK","UK",1
"1765946",5594578454,6088979818,"UK","UK",1
"1766484",2933339739,3953231536,"UK","Morocco",1
"1768167",905853715,8558866681,"India","UK",1
"1768344",8394874419,2596387173,"UK","UK",1
"1768844",6936431941,3166538889,"UK","UK",1
"1768989",7471364026,8878215296,"UK","UK",1
"1770428",9862053017,2264961913,"UK","UK",1
"1770749",4594499722,136904137,"UK","India",1
"1771395",8122511384,651057717,"UK","Spain",1
"1771977",3229111081,2596387173,"Switzerland","UK",1
"1774205",821512934,5448654851,"UAE","UK",1
"1775129",4285035639,7373140714,"UK","UK",1
"1775582",2247370907,2176034287,"UK","UK",1
"1775709",8778587933,3173291888,"UK","Albania",1
"1776526",1675743409,7748494288,"UK","USA",1
"1777354",3864360347,7262678088,"UK","UK",1
"1778017",4167240366,5897660965,"UK","UK",1
"1779214",5102301300,1909875660,"UK","UK",1
"1779247",5027448664,4007288126,"UK","UK",1
"1779596",3827836542,5603212401,"UK","Morocco",1
"1779961",7471364026,8878215296,"UK","UK",1
"1780238",2247370907,2176034287,"UK","UK",1
"1780366",3890512015,1925953413,"UK","UK",1
"1781156",3953231536,5693138862,"Morocco","UK",1
"1782711",8078366007,8558866681,"UK","UK",1
"1783752",2247370907,2176034287,"UK","UK",1
"1786565",4208029954,7748494288,"UK","USA",1
"1786809",9810369079,3166538889,"UK","UK",1
"1787151",651057717,3705101560,"Spain","UK",1
"1789569",9818595469,9627077326,"UK","UK",1
"1790719",3864360347,7262678088,"UK","UK",1
"1790977",7116470616,4045325482,"UK","UK",1
"1791627",5316774430,4361238172,"UK","UK",1
"1792774",7731616126,4627777589,"UK","UK",1
"1794283",8756167682,3173291888,"UK","Albania",1
"1794355",5594578454,6088979818,"UK","UK",1
"1794832",4167240366,4641583786,"UK","UK",1
"1795211",6114527810,2420393246,"UK","UK",1
"1795513",265022275,805558555,"UK","Morocco",1
"1798039",9862053017,2264961913,"UK","UK",1
"1800950",4458073557,9878678241,"UK","UK",1
"1801516",7973448027,8391201653,"UK","Morocco",1
"1804831",9255943229,8263397710,"UK","UK",1
"1804947",9310436713,584944514,"UK","UK",1
"1805763",8945940266,4344244332,"UK","UK",1
"1806728",3864360347,7262678088,"UK","UK",1
"1807076",2060128523,4295141338,"UK","Turkey",1
"1808151",3827836542,5603212401,"UK","Morocco",1
"1808815",7653542672,2077418471,"UK","UK",1
"1810269",4446652934,6112386593,"UK","UK",1
"1810914",9992249143,5980835605,"UK","UK",1
"1811972",5102301300,1909875660,"UK","UK",1
"1812203",279188028,4344244332,"UK","UK",1
"1814125",3814772835,617354790,"UK","India",1
"1814439",3890512015,1925953413,"UK","UK",1
"1814840",5855502721,7278889052,"UK","UK",1
"1815049",3330994745,7373140714,"UK","UK",1
"1815742",6724392743,9230763652,"UK","UK",1
"1818845",7471364026,8878215296,"UK","UK",1
"1818855",4251149720,9564185840,"Morocco","UK",1
"1819175",9862053017,2264961913,"UK","UK",1
"1819447",3705101560,5100061329,"UK","Switzerland",1
"1819828",5862382386,2599148312,"Morocco","UK",1
"1820541",4251149720,2388098725,"Morocco","UK",1
"1821702",485398087,5057760337,"UK","UK",1
"1822931",7471364026,8878215296,"UK","UK",1
"1823567",9818595469,9627077326,"UK","UK",1
"1825050",5693138862,3571423310,"UK","UAE",1
"1826012",5316774430,4361238172,"UK","UK",1
"1826732",2587105294,3166538889,"UK","UK",1
"1827859",8374463563,9230763652,"UK","UK",1
"1828962",7990986315,3754234469,"UK","Spain",1
"1829305",2247370907,2176034287,"UK","UK",1
"1830397",2247370907,2176034287,"UK","UK",1
"1833145",4439115994,8558866681,"UK","UK",1
"1833200",985146395,3173291888,"Austria","Albania",1
